Date,thermD,MLD,SW,AirT,Prec(mm),relhum,Wdir,Wspeed(m/s),CC,Inflow,W,delT,Ice_d,day_from_iceoff
1992-06-13,-4.7645,-36.8,173.859436,17.662499999999998,3.9,83.19154740765242,0.0,1.1083333333333332,79.33333333333333,5.24579,0.0007483677742846737,-5.343230441212654e-05,87,13.0
1992-06-14,-5.0004,-36.8,250.3778381,16.8625,10.9,73.57796296583014,0.0,1.5166666666666668,79.33333333333333,5.4671,0.0,-5.832826718688011e-05,87,14.0
1992-06-15,-5.0584,-36.8,268.1653442,18.34166666666667,0.0,68.30423195121963,242.0,2.7916666666666656,25.33333333333333,7.81057,0.003975446796947494,-6.068916991353035e-05,87,15.0
1992-06-16,-4.1941,-36.8,264.4778137,16.452380952380953,0.0,49.37171540495066,341.0,2.547619047619048,54.333333333333336,5.93868,0.001535753779745004,-6.11194409430027e-05,87,16.0
1992-06-17,-4.6223,-36.8,269.9814758,14.579166666666667,0.0,46.91111577491525,234.0,1.6916666666666669,54.333333333333336,4.99039,0.00045229650102768547,-6.0152728110551834e-05,87,17.0
1992-06-18,-4.7941,-36.8,180.9449005,15.95,0.6,63.966465500755376,0.0,1.4791666666666663,83.66666666666667,4.45723,0.003361182032077808,-5.823676474392414e-05,87,18.0
1992-06-19,-5.0322,-36.8,245.8469696,16.508333333333333,0.0,58.53168987825269,37.0,1.3416666666666668,29.33333333333333,4.26396,0.00113129977737838,-5.572987720370293e-05,87,19.0
1992-06-20,-5.0972,-36.8,294.1668701,18.35,0.0,50.15279394283052,0.0,1.8166666666666669,54.333333333333336,3.94748,0.0031977450131289954,-5.29005192220211e-05,87,20.0
1992-06-21,-4.7547,-36.8,184.1291962,13.65,3.3,54.1062494427037,317.0,2.725,75.33333333333333,3.70881,0.012766049655733035,-4.9943337216973305e-05,87,21.0
1992-06-22,-5.5908,-36.8,301.5405579,12.929166666666667,0.0,38.41689098356765,337.0,2.4416666666666664,42.0,4.34001,0.0038311349216833108,-4.6986620873212814e-05,87,22.0
1992-06-23,-5.8591,-36.8,308.936615,13.529166666666669,0.0,44.66118633734932,0.0,1.5875000000000004,25.33333333333333,3.82022,0.000713576070875838,-4.411442205309868e-05,87,23.0
1992-06-24,-6.0755,-36.8,241.9123077,15.245833333333335,0.0,54.77601728356159,0.0,0.8958333333333334,75.33333333333333,3.4991,0.001360515779968815,-4.137423820793629e-05,87,24.0
1992-06-25,-6.1879,-36.8,278.3123474,15.769565217391303,0.0,45.851446841626014,0.0,0.6869565217391305,17.0,3.2704,0.0017151919514722662,-3.8790516555309296e-05,87,25.0
1992-06-26,-6.2529,-36.8,261.5624695,19.17083333333333,0.0,50.47363517336149,0.0,0.6583333333333333,25.33333333333333,3.0868,0.0004473738217063569,-3.6372803151607513e-05,87,26.0
1992-06-27,-6.2699,-36.8,295.0708008,21.32083333333333,0.0,43.23208845581228,0.0,2.245833333333333,17.0,2.92713,0.000642023966928108,-3.411946818232536e-05,87,27.0
1992-06-28,-3.1812,-36.8,228.6317444,18.875,0.0,54.08043209884874,0.0,1.9583333333333337,58.66666666666666,2.78181,0.0006543348092836391,-3.2025622203946114e-05,87,28.0
1992-06-29,-3.5684,-36.8,293.4683228,18.42083333333333,0.0,48.1326076484966,0.0,2.191666666666666,38.0,2.64641,0.0005567275015558005,-3.008125349879265e-05,87,29.0
1992-06-30,-4.1475,-36.8,177.1638336,18.18695652173913,0.2,69.93850813290283,233.0,1.7956521739130438,79.33333333333333,2.51881,0.0013571671084808648,-2.8276583179831505e-05,87,30.0
1992-07-01,-4.6405,-36.8,100.0884857,13.65,29.0,87.64556621177721,0.0,1.841666666666666,91.66666666666669,2.44804,0.00036634733606602315,-2.6600901037454605e-05,87,31.0
1992-07-02,-5.0593,-36.8,193.1322174,11.954166666666664,0.6,69.09083763729916,344.0,2.1208333333333336,75.33333333333333,12.2294,0.0011282943852313674,-2.504314761608839e-05,87,32.0
1992-07-03,-5.8634,-36.8,295.0374146,12.60416666666667,0.0,51.58004116093077,0.0,1.754166666666667,37.66666666666666,7.78894,0.0015120581519908417,-2.3593776859343052e-05,87,33.0
1992-07-04,-6.233,-36.8,339.3840027,13.120833333333335,0.0,52.20895716707255,326.0,2.308333333333333,37.66666666666666,5.58569,0.0,-2.2244290448725224e-05,87,34.0
1992-07-05,-6.6187,-36.8,278.7059326,16.07083333333333,0.0,47.7299608811184,0.0,1.4249999999999998,12.666666666666666,4.50691,0.0,-2.0984094589948654e-05,87,35.0
1992-07-06,-6.7346,-36.8,278.5680847,15.9125,2.0,53.16898340274933,0.0,1.05,54.66666666666666,3.93154,0.0,4.4505344703793526e-05,87,36.0
1992-07-07,-6.9427,-36.8,310.6976929,14.79166666666667,0.0,48.86482505669184,0.0,1.8458333333333328,46.333333333333336,4.0883,0.00027495049608631806,0.0001221788115799427,87,37.0
1992-07-08,-6.2092,-36.8,318.3691406,17.458333333333336,0.0,44.55100462158805,0.0,2.1875,13.0,3.63833,0.002840611869771842,0.00011714431457221508,87,38.0
1992-07-09,-6.6322,-36.8,298.0234985,17.3625,0.0,67.45176732435273,0.0,2.6,17.0,3.35153,0.0005578408485922966,0.0001672147773206234,87,39.0
1992-07-10,-6.6808,-36.8,282.5005798,19.17083333333333,6.6,61.02005127256596,250.0,2.3541666666666674,46.0,3.14124,0.00024247719018236403,0.0002505863085389137,87,40.0
1992-07-11,-6.8355,-36.8,235.4736786,17.400000000000002,0.3,78.7684990351081,0.0,1.0166666666666666,75.33333333333333,4.74148,0.00013327213906301437,0.00023827701807022095,87,41.0
1992-07-12,-7.127,-36.8,184.709137,17.570833333333336,1.7,69.83559729978892,133.0,1.2208333333333334,71.0,3.91828,0.012332908960469272,0.1364583820104599,87,42.0
1992-07-13,-7.2474,-36.8,151.0956726,18.441666666666663,0.0,71.87663060055945,136.0,1.5458333333333334,83.33333333333333,3.83206,0.003033267710091277,0.02731698751449585,87,43.0
1992-07-14,-6.5712,-36.8,48.59990311,15.22083333333333,14.1,84.57043615244193,0.0,1.3708333333333331,83.66666666666667,3.3497,0.00030270298790136685,0.0058127641677856445,87,44.0
1992-07-15,-7.2839,-36.8,189.5378723,13.929166666666667,0.3,69.84119371377602,292.0,2.5458333333333334,62.66666666666666,7.35014,0.0010680645772030647,-0.004684567451477051,87,45.0
1992-07-16,-7.7975,-36.8,291.7911072,15.241666666666667,0.0,47.470655769411735,0.0,1.5416666666666663,41.66666666666666,5.34187,0.0017608962078753882,-0.006620943546295166,87,46.0
1992-07-17,-8.0434,-36.8,297.153656,17.599999999999998,0.0,55.60187885791014,0.0,1.0666666666666669,50.333333333333336,4.29119,0.0,-0.001067817211151123,87,47.0
1992-07-18,-8.1931,-36.8,13.52261925,15.779166666666669,6.6,89.46549550293258,138.0,1.0125,100.0,3.73343,0.018620949841832154,-0.011638224124908447,87,48.0
1992-07-19,-8.2935,-36.8,265.7174072,17.770833333333332,0.4,74.66498316831995,0.0,2.0125,79.33333333333333,5.22125,0.07586989819441921,-0.08529478311538696,87,49.0
1992-07-20,-8.2599,-1.7308440250219228,224.1954193,18.84583333333333,0.0,70.5404747071993,218.0,1.9416666666666664,67.0,4.31509,0.0008611196315822221,-0.5514761880040169,87,50.0
1992-07-21,-8.1818,-36.8,280.8936462,20.529166666666665,0.0,62.00744170428538,214.0,1.695833333333333,12.666666666666666,3.73677,0.08644972033110193,-0.04725688695907593,87,51.0
1992-07-22,-8.1259,-36.8,258.8653259,21.325000000000003,0.0,63.27360297150516,238.0,3.116666666666666,50.333333333333336,3.39316,0.04305243864257049,-0.0511152446269989,87,52.0
1992-07-23,-6.624,-36.8,277.485321,19.466666666666665,0.0,57.76270960477675,0.0,1.2208333333333334,33.666666666666664,3.15779,0.03595468963704419,-0.05990847945213318,87,53.0
1992-07-24,-7.0392,-36.8,290.7901917,19.69583333333333,0.0,52.12529624462368,0.0,1.2583333333333333,46.333333333333336,2.97437,0.03741934607197233,-0.06542792916297913,87,54.0
