Date	thermD	MLD	SW	AirT	Prec(mm)	relhum	Wdir	Wspeed(m/s)	CC	Inflow	W	delT	Ice_d	day_from_iceoff	MM	NH4-N	NOX	O2	Tot-P	PO4-P	Si	Water temp	Chl
1996-03-18	-36.8	-36.8	119.3113556	-2.1749999999999994	0.0	78.85527308836667	0.0	0.6083333333333333	100.0	4.95647	0.0027507730680841	0.0001501999795436	95	-74.0	3	10.0	1100.0	10.6	41.0	36.0	3.1	1.1	1.8
1996-05-21	-36.8	-36.8	224.7248383	9.116666666666664	0.0	42.42197689086338	339.0	3.420833333333334	50.333333333333336	6.05369	0.0012127676838432	1.1220574378967283e-05	95	-10.0	5	53.0	1240.0	11.7	48.0	28.0	3.2	5.8	9.5
1996-05-23	-1.48	-36.8	289.5406494	12.79166666666667	0.0	42.18334803685919	0.0	1.325	8.666666666666666	5.45497	0.0003353268291479	-3.247428685426712e-05	95	-8.0	5	26.0	1742.0	12.48	46.0	27.0	2.53	7.5	16.1
1996-06-18	-7.206	-36.8	217.7072449	13.94166666666667	8.0	78.62800640735462	0.0	1.0083333333333335	87.66666666666667	3.53948	0.0002297257224105	4.087109118700028e-05	95	18.0	6	12.0	799.0	11.72	17.0	7.0	0.11	14.7	19.3
1996-07-15	-7.9914	-36.8	235.5060577	15.704166666666666	0.0	56.38978915952861	278.0	2.1833333333333336	50.333333333333336	5.67107	0.0	-7.203081622719765e-05	95	45.0	7	15.0	700.0	10.53	25.0	6.0	0.43	16.8	30.8
1996-07-18	-9.2176	-36.8	205.9600067	12.9375	0.4	71.52802425101494	9.0	2.4625000000000004	54.66666666666666	4.73596	0.0005076699560794	0.0002243285998702	95	48.0	7	53.0	750.0	10.2	24.0	5.0	0.69	16.1	7.8
1996-08-19	-5.2294	-36.8	213.1143646	21.254166666666663	0.0	57.15897269646588	217.0	2.3041666666666667	38.0	1.39839	0.000304374169155	0.000514268875122	95	80.0	8	8.0	597.0	10.55	46.0	8.0	0.37	20.4	17.9
1996-09-18	-18.1151	-36.8	151.2271881	9.533333333333331	0.1	79.63778721299646	0.0	0.9958333333333336	50.333333333333336	1.9725	0.0189422361527863	0.2107014656066894	95	110.0	9	7.0	694.0	9.33	27.0	9.0	1.07	14.0	9.4
1996-09-24	-18.6495	-36.8	139.4455414	8.741666666666665	0.0	75.30204766312745	0.0	0.9541666666666668	37.66666666666666	1.3951	0.0095286646264018	0.057173728942871	95	116.0	9	18.0	780.0	11.8	22.0	10.0	1.4	12.6	1.7
1996-10-21	-36.8	-4.60784690641389	36.11783218	4.620833333333334	0.1	99.1592655134205	339.0	1.3500000000000003	100.0	1.12503	0.0156210412372825	3.0465292930603027	95	143.0	10	6.0	855.0	8.44	33.0	24.0	1.41	10.2	4.4
1997-03-06	-36.8	-36.8	41.03567886	4.804166666666666	2.0	79.3864181389469	280.0	2.7208333333333328	71.0	24.1842	0.0011180550837057	-0.0088042020797729	84	-86.0	3	225.0	1396.0	11.33	81.0	46.0	5.13	1.7	12.1
1997-05-12	-36.8	-36.8	146.8805695	12.166666666666664	1.5	88.04784608488596	198.0	1.6666666666666667	83.66666666666667	6.35762	0.0030198625648091	-0.0044813938438892	84	-19.0	5	24.0	1471.0	11.58	44.0	26.0	4.13	5.8	5.5
1997-07-14	-6.9292	-36.8	286.4264526	17.612499999999997	0.0	57.2146245049029	0.0	0.6208333333333332	29.33333333333333	2.8902	0.0076296499683114	0.0022058002650737	84	44.0	7	34.0	657.0	8.85	18.0	2.0	0.46	19.2	8.1
1997-07-29	-5.6391	-36.8	149.6446381	15.320833333333333	1.1	93.2819055455576	272.0	3.5416666666666674	88.0	6.23446	0.0002700273977241	0.0011514574289321	84	59.0	7							20.9	
1997-08-14	-7.0892	-36.8	226.0537415	16.1125	0.0	61.351744806940914	0.0	1.7458333333333336	17.0	3.18406	0.0024370707710996	-0.0020185708999633	84	75.0	8							21.5	
1997-09-19	-20.1069	-36.8	124.9115295	8.258333333333333	0.0	61.98613340027631	284.0	2.579166666666666	67.0	5.69504	0.0107085946228901	0.0837161540985107	84	111.0	9	14.0	544.0	9.21	37.0	8.0	1.43	14.6	18.8
1997-10-03	-26.87	-10.17962267859417	115.4460907	6.845833333333334	0.4	88.53553373335889	297.0	1.2	58.66666666666666	5.89784	0.0439892984768327	3.2658162117004395	84	125.0	10							12.2	
1998-04-15	-36.8	-36.8	161.1178436	3.070833333333333	0.0	72.51198825231343	126.0	1.7541666666666669	83.33333333333333	8.87529	0.0008766744950369	0.0005402038805186	69	-46.0	4							2.5	
1998-04-16	-36.8	-36.8	103.8571548	4.45	9.4	73.76057916681198	84.0	3.273333333333333	87.66666666666667	8.44911	0.0	0.0002044940483756	69	-45.0	4	5.0	2000.0	12.0	36.0	29.0	4.6	5.4	4.5
1998-05-18	-3.0522	-1.873842539691025	315.136261	17.729166666666664	0.0	45.85422351039328	218.0	2.391666666666667	13.0	4.95967	0.0024668161535158	-1.6078799664974213	69	-13.0	5	11.0	1636.0	12.36	47.0	13.0	4.06	12.3	17.1
1998-05-18	-3.0522	-1.873842539691025	315.136261	17.729166666666664	0.0	45.85422351039328	218.0	2.391666666666667	13.0	4.95967	0.0024668161535158	-1.6078799664974213	69	-13.0	5	21.0	910.0	14.9	43.0	12.0	3.6	12.5	13.0
1998-07-15	-6.4171	-36.8	134.2590179	13.349999999999996	7.7	87.7437112342782	211.0	2.774999999999999	88.0	5.75675	0.0003756104071689	-0.0001399163156747	69	45.0	7	16.0	1300.0	10.2	25.0	4.0	2.4	18.6	15.0
1998-07-21	-8.6445	-36.8	225.2825165	18.8625	0.0	64.34486690150398	230.0	1.691666666666667	38.0	4.34251	0.0003561727247526	0.0015310253947973	69	51.0	7								20.808
1998-07-21	-8.6445	-36.8	225.2825165	18.8625	0.0	64.34486690150398	230.0	1.691666666666667	38.0	4.34251	0.0003561727247526	0.0015310253947973	69	51.0	7	8.0	1123.0	10.09	33.0	6.0	2.07	18.0	21.0
1998-07-28	-8.5113	-36.8	167.9319	15.9875	0.0	77.70531550428656	24.0	1.45	63.0	3.74709	0.0156026269852663	-0.0702411085367202	69	58.0	7								21.756870000000003
1998-07-30	-9.0531	-36.8	115.8875809	15.629166666666668	5.2	79.54961325577123	230.0	1.9208333333333327	71.0	4.5957	0.0	-0.0008150478824973	69	60.0	7							17.8	
1998-08-04	-9.7976	-36.8	52.19334793	14.537500000000003	0.4	80.18795472218773	202.0	1.925	79.33333333333333	3.18802	0.0071045249152624	-0.0067417919635772	69	65.0	8								5.16906
1998-08-11	-9.5555	-36.8	227.0394592	14.637500000000005	0.0	60.32084841784175	335.0	0.8541666666666665	17.0	2.90142	0.0009595256981655	0.0028335452079772	69	72.0	8								9.22887
1998-08-11	-9.5555	-36.8	227.0394592	14.637500000000005	0.0	60.32084841784175	335.0	0.8541666666666665	17.0	2.90142	0.0009595256981655	0.0028335452079772	69	72.0	8							19.8	
1998-08-25	-12.6894	-36.8	154.6405792	10.645833333333334	0.0	75.32586942966452	327.0	1.5	58.333333333333336	5.50327	0.0	0.0008835792541503	69	86.0	8								1.0962
1998-09-01	-15.547	-36.8	108.1865463	9.456521739130435	0.0	81.5470769607413	28.0	1.908695652173913	71.0	4.76281	0.0007644029527882	0.0059301853179931	69	93.0	9								0.99306
1998-09-08	-16.1004	-36.8	127.5437927	13.754166666666665	0.0	81.55991603511544	122.0	1.1666666666666667	75.33333333333333	2.6767	0.0010864775311282	0.0086686611175537	69	100.0	9								9.51471
1998-09-14	-14.1449	-1.2269375203448578	104.4972458	15.425000000000002	7.1	77.68345481122145	82.0	2.2291666666666665	58.66666666666666	3.68988	0.0002365961316282	1.3356900215148926	69	106.0	9	22.0	1300.0	9.3	23.0	15.0	2.4	15.1	4.5
1998-09-14	-14.1449	-1.2269375203448578	104.4972458	15.425000000000002	7.1	77.68345481122145	82.0	2.2291666666666665	58.66666666666666	3.68988	0.0002365961316282	1.3356900215148926	69	106.0	9	14.0	1176.0	9.1	35.0	16.0	3.0	15.7	9.8
