Date	thermD	MLD	SW	AirT	Prec(mm)	relhum	Wdir	Wspeed(m/s)	CC	Inflow	W	delT	Ice_d	day_from_iceoff	MM
2004-06-19	-6.3083		255.4620361	12.687500000000002	8.8	53.75682900854738	0.0	1.7500000000000002	75.33333333333333	3.87033	3.489550441826565	-7.891049608588219e-05	71	19.0	6
2004-06-20	-6.3089		234.5805969	11.733333333333334	1.1	74.99199640276794	218.0	2.795833333333333	54.66666666666666	6.13482	2.2456562319512567	-7.46515579521656e-05	71	20.0	6
2004-06-21	-6.3101		269.9675903	13.5375	0.0	67.5070026860281	201.0	2.041666666666667	46.0	5.11129	0.8635410101164126	-7.005594670772552e-05	71	21.0	6
2004-06-22	-6.3111		230.4272766	13.8375	0.4	73.55432201224319	225.0	1.720833333333334	62.66666666666666	4.32059	0.44572132373356754	-6.542052142322063e-05	71	22.0	6
2004-06-23	-6.3192		308.8861694	14.970833333333337	3.1	62.371436409379	249.0	2.445833333333333	38.0	3.97209	5.81435572995827	-6.088428199291229e-05	71	23.0	6
2004-06-24	-6.3306		127.9083023	13.560869565217391	2.5	86.65712080356803	96.0	2.7652173913043483	66.66666666666667	4.42193	0.8729583678056955	-5.657807923853397e-05	71	24.0	6
2004-06-25	-6.3354		263.901825	15.379166666666665	3.3	67.7373354397037	191.0	3.866666666666667	62.66666666666666	4.48881	0.493233672027756	-5.260505713522434e-05	71	25.0	6
2004-06-26	-6.3327		115.662468	14.620833333333332	0.2	85.90501761886887	0.0	1.0624999999999998	96.0	4.7254	0.2965686151946791	-4.488369449973106e-05	71	26.0	6
2004-06-27	-6.3249		214.2940216	14.1875	4.4	86.23893874635912	0.0	0.7041666666666666	75.0	4.07515	1.6204450150028034	-3.296625800430775e-05	71	27.0	6
2004-06-28	-6.3142		244.574173	15.0375	0.0	80.73343160590261	0.0	1.5666666666666669	62.66666666666666	4.79426	1.8197023287223724	-3.021792508661747e-05	71	28.0	6
2004-06-29	-6.3008		263.4386292	15.21363636363636	6.1	84.40185180842764	240.0	1.5590909090909089	79.33333333333333	4.04251	5.239111084633835	-3.295624628663063e-05	71	29.0	6
2004-06-30	-6.2957		256.6725769	15.791666666666666	0.0	75.36004047457735	352.0	1.6	50.333333333333336	5.26782	2.4086330353370773	-3.389734774827957e-05	71	30.0	6
2004-07-01	-6.2912		269.5799255	16.595833333333335	7.0	71.99007874667544	240.0	2.8875000000000006	54.333333333333336	4.29539	0.6575710573825697	-3.348407335579395e-05	71	31.0	7
2004-07-02	-6.2874		92.359375	14.641666666666673	2.8	81.67501035116486	151.0	1.5958333333333334	62.66666666666666	5.70203	3.2542675178781373	-3.2398849725723267e-05	71	32.0	7
2004-07-03	-6.2839		306.5101318	15.812499999999998	2.2	65.86506892710858	235.0	1.8875	41.66666666666666	5.2683	9.028488841988388	-3.100233152508736e-05	71	33.0	7
2004-07-04	-6.281		260.1917114	15.495833333333335	2.0	77.92981555549224	187.0	1.883333333333333	67.0	4.92377	5.113151718465147	-2.948683686554432e-05	71	34.0	7
2004-07-05	-6.2787		230.5611267	14.045833333333333	3.8	85.02349785769333	0.0	0.8750000000000001	79.33333333333333	4.70356	4.895850665237886	-2.794899046421051e-05	71	35.0	7
2004-07-06	-6.2768		229.1693268	13.687499999999998	8.5	88.35066646926498	0.0	1.0833333333333337	71.33333333333333	5.06082	0.8823763881488742	-2.6440247893333435e-05	71	36.0	7
2004-07-07	-6.2754		277.5517578	15.362500000000002	0.0	62.426648514678426	0.0	1.0958333333333334	37.66666666666666	6.74085	0.6402846994910857	-2.4987151846289635e-05	71	37.0	7
2004-07-08	-6.2746		272.9638367	16.82916666666667	0.0	54.9976923432908	0.0	1.4958333333333331	33.666666666666664	5.23811	0.32359721897731786	-2.360297366976738e-05	71	38.0	7
2004-07-09	-6.2741		197.9060669	16.004166666666666	0.0	71.56326264664615	140.0	1.375	96.0	4.4643	0.46296510586375794	-2.229271922260523e-05	71	39.0	7
2004-07-10	-6.2746		51.46844101	16.473913043478262	0.8	79.55001416023883	60.0	1.7521739130434784	71.0	4.01881	0.4962406292980586	-2.1056621335446835e-05	71	40.0	7
2004-07-11	-36.8		124.568573	14.864285714285714	1.5	84.38058728220669	65.0	1.823076923076923	96.0	3.92437	0.0902119540756953	-1.989386510103941e-05	71	41.0	7
2004-07-12	-36.8		148.2526703	15.008333333333333	0.0	87.55264994925342	66.0	1.5083333333333335	96.0	3.99432	0.02083226045264062	-1.8799910321831703e-05	71	42.0	7
2004-07-13	-36.8		224.7846832	14.924999999999995	11.3	85.21101313572036	0.0	1.2333333333333332	96.0	3.61403	0.006917081846254486	-1.7773243598639965e-05	71	43.0	7
2004-07-14	-36.8		207.2293701	13.258333333333333	6.0	87.00734884323218	0.0	1.2875	83.66666666666667	6.63695	0.011325822866019655	-1.680792775005102e-05	71	44.0	7
2004-07-15	-36.8		286.4670715	15.179166666666664	0.0	65.13890684360032	236.0	1.429166666666667	25.33333333333333	6.65569	0.0	-1.58980255946517e-05	71	45.0	7
2004-07-16	-36.8		216.5291748	15.545833333333334	0.0	71.8557219102834	0.0	1.3875000000000002	75.0	5.15087	0.008138274081541703	-1.5051220543682575e-05	71	46.0	7
2004-07-17	-36.8		294.4668579	16.537499999999998	0.0	66.09414798233037	319.0	1.0083333333333333	25.33333333333333	4.3785	0.006301400498606119	-1.424166839569807e-05	71	47.0	7
2004-07-18	-36.8		273.3525696	16.675	0.7	65.48275557804773	182.0	2.270833333333333	71.0	3.9359	0.02479060809200344	-1.348624937236309e-05	71	48.0	7
2004-07-19	-36.8		110.223526	17.166666666666668	13.2	91.55300477651018	212.0	1.2458333333333331	87.66666666666667	3.81982	0.0019347261870511048	-7.904600352048874e-07	71	49.0	7
2004-07-20	-36.8		302.3554688	17.125000000000004	0.0	67.5332496128889	237.0	2.3916666666666666	17.0	7.48734	0.04741100514771496	1.1433730833232404e-05	71	50.0	7
2004-07-21	-36.8		114.3683472	17.33913043478261	0.0	63.90169914171323	0.0	0.9391304347826088	96.0	5.54466	0.02662053269337253	3.411201760172844e-06	71	51.0	7
2004-07-22	-36.8		206.3731689	19.429166666666667	0.0	60.03021437036353	80.0	1.1625	50.333333333333336	4.57698	0.005038930097158775	-2.296292223036289e-06	71	52.0	7
2004-07-23	-36.8		199.3487091	18.70833333333333	0.0	68.88321203954699	70.0	1.366666666666667	83.33333333333333	4.04664	0.0	-5.945796146988869e-06	71	53.0	7
2004-07-24	-36.8		153.4519348	19.1625	0.8	73.61918013049012	300.0	1.4124999999999996	79.66666666666667	3.71504	0.002748848823704313	-8.175498805940151e-06	71	54.0	7
2004-07-25	-36.8		219.8057861	16.575	4.8	69.29512446741532	245.0	2.2583333333333337	87.66666666666667	3.67677	0.025293873981381783	-9.444542229175568e-06	71	55.0	7
2004-07-26	-36.8		76.21168518	14.81666666666667	1.0	92.35156152025247	0.0	0.725	100.0	4.64117	0.0	-1.0076677426695824e-05	71	56.0	7
2004-07-27	-36.8		243.6716919	16.43333333333333	0.0	80.12004887265995	0.0	0.9166666666666669	75.0	4.16931	0.005497156400022415	-1.0294723324477673e-05	71	57.0	7
2004-07-28	-36.8		285.2910156	18.2875	0.0	64.04150363096657	0.0	1.2	25.33333333333333	3.65681	0.029015311330128347	1.7286278307437897e-05	71	58.0	7
2004-07-29	-36.8		300.2568359	18.416666666666668	0.0	56.54820656255088	6.0	1.8791666666666664	0.0	3.34312	0.004139198523833397	9.088357910513878e-05	71	59.0	7
2004-07-30	-36.8		223.2531433	17.030434782608697	0.0	83.70650692029534	3.0	2.5391304347826087	100.0	3.12171	0.007992782943017897	0.0001608300954103	71	60.0	7
2004-07-31	-36.8		208.5083771	18.54583333333333	0.0	82.21314664885234	6.0	2.1916666666666664	54.333333333333336	2.94514	0.0	0.0001839268952608	71	61.0	7
2004-08-01	-36.8		95.38730621	18.20416666666667	0.1	90.26992767331922	22.0	2.1333333333333333	92.0	2.79221	0.0027557216231948456	0.0001466716639697	71	62.0	8
2004-08-02	-36.8		155.5292664	18.95	0.1	83.49784705842768	53.0	1.8208333333333329	91.66666666666669	2.67839	0.0	7.601827383041382e-05	71	63.0	8
2004-08-03	-36.8		66.32910156	19.0	0.0	94.39825055535884	36.0	1.7083333333333333	100.0	2.56389	0.0	3.330688923597336e-05	71	64.0	8
2004-08-04	-36.8		198.5105896	21.916666666666668	0.0	77.03364113490647	162.0	1.6083333333333332	42.0	2.42708	0.02655357531443364	8.214032277464867e-05	71	65.0	8
2004-08-05	-36.8		244.2089996	22.59166666666667	0.0	64.94318326861436	124.0	1.7541666666666669	17.0	2.30473	0.00383886148933965	0.0001515750773251	71	66.0	8
2004-08-06	-36.8		262.07547	23.054166666666664	0.0	56.68913469628517	195.0	2.325	17.0	2.19172	0.02142634457787182	0.0001046829856932	71	67.0	8
2004-08-07	-36.8		262.5397949	23.58333333333333	0.0	57.09487681866974	219.0	1.2541666666666669	54.66666666666666	2.08568	0.037010399664864586	7.466506212949753e-05	71	68.0	8
2004-08-08	-36.8		273.8554993	22.7375	2.9	65.25179591843914	0.0	0.95	13.0	1.98539	0.005389146537799475	9.516067802906036e-05	71	69.0	8
2004-08-09	-0.55		243.9923859	21.966666666666665	0.0	62.300040411127135	0.0	1.0916666666666666	13.0	2.61767	0.08421519720522053	0.0001340461894869	71	70.0	8
