Date	U	AirP	AirT	Hum	inflow	thermD	CC	MLD	W	delT	Treatment	NOX	DO_sur	DO_bot	PO4	TotP	TotN	NH4	Chl
2013-04-13	2.6924938897390955	1009.66625	4.7975	2.4804166666666667	0.7834	-0.61	0.8983333333333333	-37.73966979980469	44.006882755030176	0.047745824	1	0.21502606570720673	14.089861869812012	13.336541175842285	0.05331915616989136	0.08889204263687134	0.7721367478370667	0.007640545722097158	8.612323760986328
2013-04-14	4.861599166205383	1022.2958333333332	6.87375	4.0095833333333335	0.7834	-0.61	0.7512500000000001	-37.73966979980469	100.30558252131172	0.042262316	1	0.1975497007369995	13.28602409362793	13.124258995056152	0.059409063309431076	0.08705419301986694	0.7773825526237488	0.0070096286945044994	9.01141357421875
2013-04-15	4.768272017013197	1017.5695833333332	11.98875	7.910416666666666	0.7834	-0.61	0.8975	-37.73966979980469	6805.997046824276	0.06584072	1	0.19583842158317566	13.203282356262207	13.007494926452637	0.060152873396873474	0.08656694740056992	0.7855538725852966	0.006889134179800749	8.733867645263672
2013-04-16	3.52482695966324	1015.4345833333332	11.076666666666666	8.417916666666667	0.7834	-0.61	0.7108333333333333	-37.73966979980469	119.01813558100052	0.06091404	1	0.2329777330160141	13.14227294921875	12.902573585510254	0.0649227574467659	0.08428307622671127	0.806393027305603	0.00702480087056756	8.979412078857422
2013-04-17	4.681711212711115	1016.1558333333334	10.809583333333334	5.270833333333333	0.7834	-0.61	0.7200000000000001	-37.73966979980469	48.03371743551861	0.078089714	1	0.2320905178785324	13.263193130493164	12.710886001586914	0.0663432776927948	0.08382762968540192	0.8095977902412415	0.0061348057352006435	9.10118293762207
2013-04-18	8.260285974531227	1007.2779166666666	11.316666666666668	6.01625	0.7834	-0.61	0.5295833333333334	-37.73966979980469	5.98249396527266	0.07038212	1	0.2180798202753067	13.66568374633789	12.580620765686035	0.06541519612073898	0.08475209772586823	0.8145160675048828	0.005562035832554102	9.202176094055176
2013-04-19	7.984089963006006	1013.6779166666666	7.920833333333333	3.0354166666666664	0.7834	-0.61	0.2408333333333333	-37.73966979980469	2.994498462955528	0.058507204	1	0.20964349806308746	14.243005752563477	12.540018081665039	0.06319663673639297	0.0866708755493164	0.8278365731239319	0.005382198840379715	9.540742874145508
2013-04-20	2.960230291796851	1027.595	6.534166666666667	0.895	0.7834	-0.61	0.0875	-37.73966979980469	200.7117463951128	0.12089443	1	0.20772819221019745	14.699429512023926	12.619953155517578	0.06199812889099121	0.08862809091806412	0.8429039120674133	0.005594158079475164	10.23818588256836
2013-04-21	3.777409260656648	1023.33875	6.091666666666666	-2.424166666666667	0.7834	-0.61	0.3383333333333334	-37.73966979980469	19.14318862076945	0.15658593	1	0.20191694796085358	14.991338729858398	12.656926155090332	0.061614323407411575	0.0904524028301239	0.8474552035331726	0.005653295665979385	11.2485990524292
2013-04-22	3.3383829171222934	1012.0825	8.389166666666666	2.9691666666666667	0.7834	-0.61	0.62875	-37.73966979980469	0.0	0.14836311	1	0.1902870386838913	15.263254165649414	12.705126762390137	0.0600249245762825	0.09106068313121796	0.8408834338188171	0.005510541144758463	12.737261772155762
