Date,thermistorDepth,V1
2018-07-22,0.5,22.7397916666667
2018-07-22,1,22.62375
2018-07-22,1.5,22.4725
2018-07-22,2,22.419375
2018-07-22,2.5,22.3745833333333
2018-07-22,3,22.214375
2018-07-22,3.5,19.600625
2018-07-22,4,16.0458333333333
2018-07-22,4.5,13.1635416666667
2018-07-23,0.05,23.4920833333333
2018-07-23,0.5,23.3554166666667
2018-07-23,1,22.9052083333333
2018-07-23,1.5,22.7047916666667
2018-07-23,2,22.505
2018-07-23,2.5,22.3627083333333
2018-07-23,3,22.0639583333333
2018-07-23,3.5,20.1358333333333
2018-07-23,4,16.159375
2018-07-23,4.5,13.2327083333333
2018-07-24,0.05,24.4227083333333
2018-07-24,0.5,24.1939583333333
2018-07-24,1,23.6383333333333
2018-07-24,1.5,23.2366666666667
2018-07-24,2,22.9016666666667
2018-07-24,2.5,22.603125
2018-07-24,3,22.14125
2018-07-24,3.5,20.1420833333333
2018-07-24,4,16.3008333333333
2018-07-24,4.5,13.3325
2018-07-25,0.05,24.2683720930233
2018-07-25,0.5,24.2516279069767
2018-07-25,1,24.0404651162791
2018-07-25,1.5,23.773488372093
2018-07-25,2,23.3904651162791
2018-07-25,2.5,22.9355813953488
2018-07-25,3,22.2720930232558
2018-07-25,3.5,20.1518604651163
2018-07-25,4,16.3527906976744
2018-07-25,4.5,13.4432558139535
2018-07-26,0.05,23.3029166666667
2018-07-26,0.5,23.2902083333333
2018-07-26,1,23.2716666666667
2018-07-26,1.5,23.2395833333333
2018-07-26,2,23.16875
2018-07-26,2.5,22.8835416666667
2018-07-26,3,22.23625
2018-07-26,3.5,20.246875
2018-07-26,4,16.730625
2018-07-26,4.5,13.6925
2018-07-27,0.05,22.57
2018-07-27,0.5,22.571875
2018-07-27,1,22.5516666666667
2018-07-27,1.5,22.5077083333333
2018-07-27,2,22.4277083333333
2018-07-27,2.5,22.336875
2018-07-27,3,21.97125
2018-07-27,3.5,20.2679166666667
2018-07-27,4,16.8535416666667
2018-07-27,4.5,13.7835416666667
2018-07-28,0.05,22.6166666666667
2018-07-28,0.5,22.45375
2018-07-28,1,22.2339583333333
2018-07-28,1.5,22.130625
2018-07-28,2,22.0477083333333
2018-07-28,2.5,21.9641666666667
2018-07-28,3,21.7964583333333
2018-07-28,3.5,20.48125
2018-07-28,4,16.8904166666667
2018-07-28,4.5,13.8102083333333
2018-07-29,0.05,23.045
2018-07-29,0.5,22.716875
2018-07-29,1,22.4341666666667
2018-07-29,1.5,22.2320833333333
2018-07-29,2,22.0966666666667
2018-07-29,2.5,21.9341666666667
2018-07-29,3,21.6566666666667
2018-07-29,3.5,20.5366666666667
2018-07-29,4,16.9591666666667
2018-07-29,4.5,13.8872916666667
2018-07-30,0.05,23.4008333333333
2018-07-30,0.5,22.8370833333333
2018-07-30,1,22.576875
2018-07-30,1.5,22.405625
2018-07-30,2,22.2714583333333
2018-07-30,2.5,22.0541666666667
2018-07-30,3,21.7458333333333
2018-07-30,3.5,20.5089583333333
2018-07-30,4,17.04375
2018-07-30,4.5,13.9641666666667
2018-07-31,0.05,24.2189583333333
2018-07-31,0.5,23.634375
2018-07-31,1,23.1920833333333
2018-07-31,1.5,22.8466666666667
2018-07-31,2,22.5625
2018-07-31,2.5,22.2570833333333
2018-07-31,3,21.861875
2018-07-31,3.5,20.52
2018-07-31,4,17.1889583333333
2018-07-31,4.5,14.086875
2018-08-01,0.05,24.086875
2018-08-01,0.5,23.9179166666667
2018-08-01,1,23.6179166666667
2018-08-01,1.5,23.2491666666667
2018-08-01,2,22.8622916666667
2018-08-01,2.5,22.4933333333333
2018-08-01,3,21.9895833333333
2018-08-01,3.5,20.5008333333333
2018-08-01,4,17.280625
2018-08-01,4.5,14.1860416666667
2018-08-02,0.05,22.5786046511628
2018-08-02,0.5,22.5832558139535
2018-08-02,1,22.5713953488372
2018-08-02,1.5,22.5506976744186
2018-08-02,2,22.4841860465116
2018-08-02,2.5,22.3039534883721
2018-08-02,3,21.9711627906977
2018-08-02,3.5,20.4441860465116
2018-08-02,4,17.4088372093023
2018-08-02,4.5,14.2651162790698
2018-08-03,0.05,21.8495833333333
2018-08-03,0.5,21.841875
2018-08-03,1,21.8097916666667
2018-08-03,1.5,21.7302083333333
2018-08-03,2,21.6575
2018-08-03,2.5,21.6195833333333
2018-08-03,3,21.51375
2018-08-03,3.5,20.559375
2018-08-03,4,17.4033333333333
2018-08-03,4.5,14.3085416666667
2018-08-04,0.05,22.005
2018-08-04,0.5,21.9779166666667
2018-08-04,1,21.8622916666667
2018-08-04,1.5,21.768125
2018-08-04,2,21.6304166666667
2018-08-04,2.5,21.4758333333333
2018-08-04,3,21.2808333333333
2018-08-04,3.5,20.5370833333333
2018-08-04,4,17.5941666666667
2018-08-04,4.5,14.4533333333333
2018-08-05,0.05,22.3539583333333
2018-08-05,0.5,22.1770833333333
2018-08-05,1,21.9510416666667
2018-08-05,1.5,21.8279166666667
2018-08-05,2,21.6960416666667
2018-08-05,2.5,21.548125
2018-08-05,3,21.2816666666667
2018-08-05,3.5,20.4116666666667
2018-08-05,4,17.684375
2018-08-05,4.5,14.573125
2018-08-06,0.05,23.4041666666667
2018-08-06,0.5,23.1170833333333
2018-08-06,1,22.4564583333333
2018-08-06,1.5,22.1266666666667
2018-08-06,2,21.8995833333333
2018-08-06,2.5,21.6552083333333
2018-08-06,3,21.33625
2018-08-06,3.5,20.4789583333333
2018-08-06,4,17.746875
2018-08-06,4.5,14.6416666666667
2018-08-07,0.05,23.478125
2018-08-07,0.5,23.0852083333333
2018-08-07,1,22.845
2018-08-07,1.5,22.5304166666667
2018-08-07,2,22.2541666666667
2018-08-07,2.5,21.9222916666667
2018-08-07,3,21.525
2018-08-07,3.5,20.4395833333333
2018-08-07,4,17.7354166666667
2018-08-07,4.5,14.6858333333333
2018-08-08,0.05,23.9315555555556
2018-08-08,0.5,23.6971111111111
2018-08-08,1,23.2622222222222
2018-08-08,1.5,22.9397777777778
2018-08-08,2,22.5551111111111
2018-08-08,2.5,22.1295555555556
2018-08-08,3,21.6386666666667
2018-08-08,3.5,20.4671111111111
2018-08-08,4,17.802
2018-08-08,4.5,14.7882222222222
2018-08-09,0.05,24.675625
2018-08-09,0.5,24.1847916666667
2018-08-09,1,23.90125
2018-08-09,1.5,23.4947916666667
2018-08-09,2,22.9677083333333
2018-08-09,2.5,22.4204166666667
2018-08-09,3,21.7922916666667
2018-08-09,3.5,20.4947916666667
2018-08-09,4,17.88875
2018-08-09,4.5,14.8839583333333
2018-08-10,0.05,24.9404166666667
2018-08-10,0.5,24.4933333333333
2018-08-10,1,24.1145833333333
2018-08-10,1.5,23.81875
2018-08-10,2,23.2579166666667
2018-08-10,2.5,22.6425
2018-08-10,3,21.8804166666667
2018-08-10,3.5,20.49875
2018-08-10,4,17.9229166666667
2018-08-10,4.5,14.97875
2018-08-11,0.05,25.2975
2018-08-11,0.5,24.8847916666667
2018-08-11,1,24.5404166666667
2018-08-11,1.5,24.2733333333333
2018-08-11,2,23.7002083333333
2018-08-11,2.5,22.9029166666667
2018-08-11,3,22.021875
2018-08-11,3.5,20.5533333333333
2018-08-11,4,17.9445833333333
2018-08-11,4.5,15.045625
2018-08-12,0.05,26.048125
2018-08-12,0.5,25.4027083333333
2018-08-12,1,25.015
2018-08-12,1.5,24.6752083333333
2018-08-12,2,24.093125
2018-08-12,2.5,23.1691666666667
2018-08-12,3,22.2029166666667
2018-08-12,3.5,20.5960416666667
2018-08-12,4,18.0064583333333
2018-08-12,4.5,15.1045833333333
2018-08-13,0.05,26.296875
